Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1nF 200V X7R 0603,
"C10, C11, C12, C17, C20, C4, C8, C9",0603,8,100nF X7R 0603,
"C13, C14",0603,2,2.2uF X7R 0603,
C15,0805,1,4.7uF X7R 25V 0805,
"C16, C5, C6",0603,3,1uF X7R 0603,
"C2, C3",0402,2,22pF X7R 0402,
C21,1206,1,22uF X5R 25V 1206,
C22,0603,1,100nF X7R 25V 0603,
C23,0805,1,10uF X7R 16V 0805,
C7,0603,1,4.7uF X7R 0603,
D1,PRTR5V0U2X,1,"PRTR5V0U2X,215",C12333
D2,SOD2513X117N,1,BAT60JFILM,C133103
D3,SOD-123_L2.7-W1.6-LS3.7-RD,1,1N5819HW-7-F,C82544
F2,FUSC4632X85N,1,MF-MSMF050-2,C17313
IC1,SOT95P255X145-3N,1,MCP1703AT-3302E_CB,C144183
IC2,QFP50P1200X1200X160-64N,1,STM32F205RET6,C66278
J2,FH19C24S05SH10,1,FH19C-24S-0.5SH_10_,C6555469
L2,IND-SMD_L4.0-W4.0_XAL4040,1,XAL4040-103MEC,C5144883
"R1, R2",0402,2,5.1k +-1% 0402,
R10,0603,1,191k +-1% 0603,
R11,0603,1,10k +-1% 0603,
R3,0603,1,22R +-1% 0603,
R4,0402,1,22R +-1% 0402,
R5,0603,1,1M +-1% 0603,
R7,0402,1,12k +-1% 0402,
R9,0603,1,910k +-1% 0603,
"S1, S3",SKHCBGA010,2,SKHCBGA010,
U1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,SX1308,C78162
USB1,USB-C-SMD_GT-USB-7010B,1,USB4215-03-A,C37616412
Y1,ABMM2,1,ABMM2-8.000MHZ-E2-T,C431529
