Designator,Mid X,Mid Y,Rotation,Layer
C1,171.5,-37.4,270.0,top
C10,174.6,-46.3,180.0,top
C11,159.3375,-45.77,0.0,top
C12,158.6,-54.7,270.0,top
C13,174.6,-47.8,180.0,top
C14,159.335,-44.24,0.0,top
C15,158.17,-75.6,0.0,top
C16,168.73581,-76.79,180.0,top
C17,168.73581,-75.29,180.0,top
C2,160.7,-60.2675,90.0,top
C20,163.330362,-116.2,180.0,top
C21,159.5,-108.3,90.0,top
C22,161.430362,-109.0625,90.0,top
C23,163.330362,-118.0,180.0,top
C3,168.1,-61.5,270.0,top
C4,147.2,-49.9625,270.0,top
C5,186.9,-48.8,0.0,top
C6,182.86875,-47.8,0.0,top
C7,189.4,-51.3,90.0,top
C8,173.8,-54.2,90.0,top
C9,161.4375,-58.1,0.0,top
D1,160.55,-41.6,0.0,top
D2,181.4,-49.8,180.0,top
D3,164.430362,-110.7,0.0,top
F2,181.36875,-53.0,180.0,top
IC1,186.45,-51.4,180.0,top
IC2,166.15,-50.562,90.0,top
J2,164.15,-70.6,180.0,top
L2,168.8,-113.787376,270.0,top
R1,167.9,-40.6,180.0,top
R10,161.430362,-112.4625,270.0,top
R11,159.900362,-112.465,90.0,top
R2,161.4625,-39.37,0.0,top
R3,164.28,-40.26,180.0,top
R4,163.7325,-41.6,0.0,top
R5,157.0,-37.4,270.0,top
R7,167.9,-41.6,0.0,top
R9,158.17,-77.4,0.0,top
S2,149.25,-103.49,0.0,top
S3,179.27,-103.49,0.0,top
U1,164.660362,-113.65,0.0,top
USB1,164.22,-35.4625,180.0,top
Y1,164.4,-60.9,0.0,top
